fullName,strategy,assets,return,alpha_vs_hold,win_rate,trades,profit_factor,sharpe,sortino,max_drawdown,avg_exposure,code_score,red_flags
gweidart/alpha-evm-dex-bot,grid,POLUSDT,-0.114,0.549,0.75,10,0.223,-1.867,-1.794,0.114,0.117,69.25,0
Neutral-Debug/Mexc-Trading-Bot,grid,POLUSDT,-0.114,0.549,0.75,10,0.223,-1.867,-1.794,0.114,0.117,67.39,0
xlev-v/Hyperliquid-Trading-Bot,grid,POLUSDT,-0.114,0.549,0.75,10,0.223,-1.867,-1.794,0.114,0.117,65.34,0
wilsonfreitas/awesome-quant,grid,POLUSDT SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.184,0.521,0.742,22,20.177,-1.388,-1.274,0.216,0.148,76.45,0
0xfnzero/sol-trade-sdk,grid,SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.202,0.514,0.74,25,25.166,-1.268,-1.144,0.242,0.156,82.45,0
gianlucamazza/solana-mmaker,grid,SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.202,0.514,0.74,25,25.166,-1.268,-1.144,0.242,0.156,74.65,0
BitFancy/Solana-Mev-Bot-Optimize,grid,SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.202,0.514,0.74,25,25.166,-1.268,-1.144,0.242,0.156,49.81,0
fairrustana/solana-rust-developer,grid,SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.202,0.514,0.74,25,25.166,-1.268,-1.144,0.242,0.156,37.66,0
nirholas/cryptocurrency.cv,grid,ETHUSDT LINKUSDT UNIUSDT AAVEUSDT BNBUSDT CAKEUSDT POLUSDT ARBUSDT GMXUSDT OPUSDT AVAXUSDT SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.185,0.401,0.722,58,14.846,-1.058,-0.979,0.243,0.191,69.6,1
alsk1992/CloddsBot,grid,ETHUSDT LINKUSDT UNIUSDT AAVEUSDT BNBUSDT CAKEUSDT POLUSDT ARBUSDT GMXUSDT OPUSDT SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.185,0.394,0.716,61,15.946,-1.065,-0.981,0.242,0.191,74.7,1
BowTiedDevil/degenbot,grid,ETHUSDT LINKUSDT UNIUSDT AAVEUSDT ARBUSDT GMXUSDT OPUSDT,-0.217,0.368,0.689,78,17.125,-1.069,-0.978,0.275,0.219,81.55,0
LvcidPsyche/polymarket-arbitrage-bot,grid,ETHUSDT LINKUSDT UNIUSDT AAVEUSDT POLUSDT SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.229,0.366,0.669,68,11.466,-1.162,-1.098,0.283,0.223,45.81,0
x89/Solana-Arbitrage-Bot,grid,ETHUSDT LINKUSDT UNIUSDT AAVEUSDT SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.243,0.343,0.659,75,12.871,-1.074,-1.011,0.304,0.237,81.1,0
Drakkar-Software/OctoBot,grid,ETHUSDT LINKUSDT UNIUSDT AAVEUSDT SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.243,0.343,0.659,75,12.871,-1.074,-1.011,0.304,0.237,80.2,0
akshay-rakheja/arbitrage-alpaca,grid,ETHUSDT LINKUSDT UNIUSDT AAVEUSDT POLUSDT,-0.251,0.247,0.613,102,0.506,-1.077,-1.061,0.315,0.277,68.8,0
ionic-typing/orbitron-polymarket-system,grid,POLUSDT ETHUSDT LINKUSDT UNIUSDT AAVEUSDT,-0.251,0.247,0.613,102,0.506,-1.077,-1.061,0.315,0.277,47.85,0
marksantiago290/Ethereum-MEV-BOT,grid,ETHUSDT LINKUSDT UNIUSDT AAVEUSDT BNBUSDT CAKEUSDT,-0.215,0.172,0.628,116,0.994,-0.668,-0.672,0.306,0.277,72.49,0
AleRapchan/flash-swap-arbitrage-bot,grid,ETHUSDT LINKUSDT UNIUSDT AAVEUSDT,-0.285,0.172,0.578,126,0.577,-0.88,-0.878,0.365,0.317,66.85,0
gabrielfu/amm-arbitrage,grid,ETHUSDT LINKUSDT UNIUSDT AAVEUSDT,-0.285,0.172,0.578,126,0.577,-0.88,-0.878,0.365,0.317,49.53,0
GareBear99/Charm,grid,ETHUSDT,-0.294,-0.157,0.722,39,0.512,-0.786,-0.722,0.361,0.361,46.2,0
0xTaoDev/jupiter-python-cli,dca,SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.344,-1.141,,132,,-0.342,-0.342,0.601,0.36,67.75,0
andreottohst/jupiter-token-sniper-solana-sniper-bot,dca,SOLUSDT JUPUSDT RAYUSDT WIFUSDT,-0.344,-1.141,,132,,-0.342,-0.342,0.601,0.36,58.03,0
